0	0	0	0	0	0	0
4	0	0	0	0	0	0
8	0	0	0	0	0	0
12	0	0	0	0	0	0
16	0	0	0	0	0	0
20	0	0	0	0	0	0
24	0	0	0	0	0	0
28	0	0	0	0	0	0
32	0	0	0	0	0	0
36	0	0	0	0	0	0
40	0	0	0	0	0	0
44	0	0	0	0	0	0
48	0	0	0	0	0	0
52	0	0	0	0	0	0
56	0	0	0	0	0	0
60	0	0	0	0	0	0
64	0	0	0	0	0	0
68	0	0	0	0	0	0
72	-2.79E-07	-4.90E-08	-4.59E-07	0	0	0
76	-7.13E-07	-2.70E-07	-1.01E-06	0	0	0
80	-1.08E-06	-1.37E-06	-3.08E-06	0	0	0
84	-1.14E-06	-2.99E-06	-6.19E-06	0	0	0
88	-5.28E-07	-4.41E-06	-9.15E-06	0	0	0
92	7.64E-07	-5.51E-06	-8.25E-06	0	0	0
96	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
100	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
104	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
108	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
112	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
116	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
120	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
124	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
128	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
132	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
136	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
140	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
144	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
148	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
152	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
156	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
160	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
164	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
168	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
172	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
176	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
180	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
184	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
188	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
192	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
196	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
200	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
204	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
208	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
212	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
216	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
220	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
224	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
228	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
232	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
236	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
240	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
244	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
248	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
252	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
256	1.78E-06	-6.42E-06	-6.49E-06	0	0	0
